full_text
wkwkwk tanyain ah
setuju
lawan jangan lengah batalkan bukan tunda panjang umur perjuangan hidup rakyat indonesia
batalkan bukan ditunda
bukan tunda stop bodohi rakyat
mas dirga pun sudah muak
batalkan bukan tunda
gw terharu bgt kpopers malah pada ngadain giveaway album cahol saldo buat drop hastag rame rame lawan jangan lengah batalkan bukan tunda
batalkan bukan ditunda
""
tetap kawal bersama rakyat
yang penting dan utama sekarang sudah jelas sifatnya final
batalkan bukan tunda
batalkan bukan tunda
kawal sampai menang kawal sampai batal
batalkan bukan tunda
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian menculik nya sampai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
batalkan bukan tunda kembalikan temanteman kami
gulingkan azar
batalkan bukan ditunda
batalkan bukan tunda
batalkan bukan tunda
batalkan bukan tunda
batalkan bukan tunda
batalkan bukan tunda
rujak batalkan bukan tunda
astaghfirullah gaada hati nuraninya
urat malunya udah putus kan yang penting duit batalkan bukan tunda
pagiii
stay safe semuanyaaaa
batalkan bukan tunda kawal sampai menang
batalkan bukan tunda
syapp gapapa batalkan bukan tunda
lawan jangan lengah batalkan bukan tunda
disaat lg sibuk naikin ht dpt penyemangat
hah serius kaget bgt lgsg cek
batalkan bukan tunda
selamattt pagiiii
batalkan bukan ditunda
bukan tunda
terimakasih buat ga nya yaa kakk semoga negara kita cepet sembuh
kawal sampai tuntas batalkan bukan tunda
batalkan bukan tunda
semangat dan stay safe ya temen temen
batalkan bukan ditunda
udah sampe media japan korea malaysia internasional bahkan sampe artis luar ikut speak up about this tapi dari artis indo sendiri malah tone deaf sick
jangan lengah
kami menuntut pihak kepolisian yg bertugas hari ini amp melakukan aksi kekerasan thd mahasiswa kemudian ada yg diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segera
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga sampai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
batalkan bukan tunda
batalkan bukan tunda
batalkan bukan ditunda
batalkan bukan tunda
aku cinta renjun
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
kembalikan temanteman kami
mereka lagi nguji jari netzind
batalkan bukan tunda
ga malu kah pak liat ini
lawan jangan lengah batalkan bukan tunda panjang umur perjuangan hidup rakyat indonesia
batalkan bukan tunda
batalkan bukan tunda
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
malu bgt sampe idol luar aja tau busuknya pemerintah indo
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
batalkan bukan tunda
batalkan bukan tunda
kawal sampai ketok palu panjang umur perjuangan hidup rakyat indonesia
panjang umur perjuangan
batalkan bukan tunda
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
batalkan bukan tunda kawal terus sampai menang
lawan jangan lengah batalkan bukan tunda panjang umur perjuangan hidup rakyat indonesia
nasi padang
batalkan bukan tunda kawal terus
batalkan bukan tunda
koe ra isin ta
ren kita butuh rumbling mu ren
mereka mana takut sama tuhan
batalkan bukan tundaa
makasii buat ga nyaa ijin ikutan yapp anw mari mutual batalkan bukan ditunda
batalkan bukan tunda
gaada bedanya aparat sini sama zionist
ketika demokrasi hendak diakali dan ditikam mati sudah seharusnya rakyat yang peduli dan memperjuangkan demokrasi
batalkan bukan tunda
syok dikit ga ngaruh wkwk tpi kesel ada aja yg salty in
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
kawal sampai ketok palu panjang umur perjuangan hidup rakyat indonesia
bismillah pagi kawankawan semoga hari ini kita dapat keajaiban jumat berkah ya
jae park aja peduli gilaaa mulyono cs udh hati batu njing
buat yang mau turun ke jalan lagi hari ini semangat kawan stay safe keselamatan kalian paling utama
kembalikan temanteman kami
kembalikan temanteman kami
seblak plis seblak enak poll bakso jg
terus bersuara batalkan bukan tunda
keadilan sosial bagi rakyat indonesia
semangat kawan
bukan followermu tapi
batalkan bukan tunda semangat
mie ayam pangsit
lawan jangan lengah batalkan bukan tunda
ya allah jahat banget batalkan bukan tunda lawan jangan lengah
batalkan bukan tunda
batalkan bukan tunda
postkembalikan temanteman kami
lawan jangan lengah batalkan bukan tunda stop bodohi rakyat panjang umur perjuangan hidup rakyat indonesia
hastagnya hilang
batalkan bukan ditunda
batalkan bukan tunda
batalkan bukan ditunda
batalkan bukan tunda
mie ayam
batalkan bukan tunda
nangis banget pas lihat ada yg di keroyok dan ada yg dapet ancaman pembunuhan
lawan jangan lengah batalkan bukan tunda panjang umur perjuangan hidup rakyat indonesia
batalkan bukan tunda
""
teruntuk rekan seperjuangan yang akan turun aksi kembali pada hari ini stay safe di mana saja juga ingat selalu tujuan kita utamakan keselamatan diri terlebih dahulu tuhan menyertai langkah kita bersama bersama rakyat
mereka pasti dibungkam tetap fokus dan stay safe guys batalkan bukan tunda lawan jangan lengah
jangan lengah kami butuh dibatalkan bukan ditunda
batalkan bukan tunda
batalkan bukan tunda
batalkan bukan ditunda
batalkan bukan di ditunda
bukan tunda tetap kawal bersama rakyat
batalkan bukan tunda
ih kayak gue yang akun imut sering sendiri
kembalikan temanteman kami
batalkan bukan tunda
batalkan bukan tunda jangan lengah
ini apa sih kelakuan tni kok kayak gini ngancem rakyat gaji lu aja dari rakyat woy
batalkan bukan tunda
mana polisi yang katanya mengayomi masyarakat whooooo youre liar
kawal sampai menang kawal sampai batal
lawan jangan lengah batalkan bukan tunda panjang umur perjuangan hidup rakyat indonesia
kembalikan temanteman kami kami menuntut pihak kepolisian yang bertugas hari ini amp melakukann aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut
batalkan bukan ditunda
kita perjuangkan kemenangan dan keadilan itu tetap semangat
batalkan bukan tunda
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
oknum m ga diajak wkwkwk
kembalikan teman teman kami kami butuh bukan tunda tetap kawal bersama rakyat demonstran dimintai tebusan juta perorang no wonder perut lu semua buncitbuncit lol makannya duit haram
kembalikan temanteman kami
lawan tolak jangan lengah batalkan bukan tunda
kembalikan temanteman kami
batalkan bukan tunda
batalkan bukan tunda
tujuan mereka buat dapet duit nder kere soalnya
pagiee yeorobunn
batalkan bukan tunda
batalkan bukan tunda
batalkan bukan tunda
mari kita rumbling
bukan tunda stop bodohi rakyat
bukan tunda
semangat guys jangan berenti peringatan darurat lawan jangan lengah batalkan bukan tunda panjang umur perjuangan hidup rakyat indonesia
kembalikan temanteman kami kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksii kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut
jangan lengah kami butuh dibatalkan bukan ditunda
terimakasih temanteman yg kemaren turun semoga yg luka luka cepet sembuh yaaa
meanwhile artis indonesia banyak banget tone deaf
kami butuh dibatalkan bukan ditunda lawan jangan lengah
batalkan bukan tunda
kami menuntut pihak kepolisian yang bertugas hari ini amp melakukan aksi kekerasan terhadap mahasiswa kemudian ada yang diculik juga smpai saat ini tidak ada informasi dimana mahasiswa tersebut kembalikan mereka segeraa
sederhana tapi ngga semua artis indonesia bisa thanks jae
gua ikut naikin ht ini biar ht buzzer ga ada otak kalah semoga mulyono dan sekeluarga cepet mendapatkan balasan yg setimpal dan azab yg perih seperti perihnya
batalkan bukan tunda
batalkan bukan tunda kawal terus sampai menang
lewatt
batalkan bukan tunda
