"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";
"1826765953147036019,""Thu Aug 22 23:59:52 +0000 2024"",""1"",""@enhyvampireism_ dk aj #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti"",""1826771301215961386"","""",""enhyvampireism_"",""in"",""pusat tata surya"",""0"",""1"",""0"",""https://x.com/amourdeoct/status/1826771301215961386"",""1406593657562558464"",""amourdeoct""";
"1826613586372042892,""Thu Aug 22 23:59:52 +0000 2024"",""0"",""@abcdenhaipen BATALKAN BUKAN DITUNDA #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771300960141521"","""",""abcdenhaipen"",""in"","""",""0"",""0"",""0"",""https://x.com/jongjayya/status/1826771300960141521"",""1673719584657149952"",""jongjayya""";
"1826593043040137239,""Thu Aug 22 23:59:52 +0000 2024"",""0"",""@nct_menfess BATALKAN BUKAN TUNDA ! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771300070949078"","""",""nct_menfess"",""in"",""jaemin's heart "",""0"",""0"",""0"",""https://x.com/lalalaloveyou00/status/1826771300070949078"",""1457834036081033216"",""lalalaloveyou00""";
"1826771299248865690,""Thu Aug 22 23:59:52 +0000 2024"",""0"",""pagii BATALKAN BUKAN TUNDA! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771299248865690"","""","""",""in"",""hati jake"",""0"",""2"",""0"",""https://x.com/heazelnat/status/1826771299248865690"",""1750065100126646272"",""heazelnat""";
"1826579732600947130,""Thu Aug 22 23:59:51 +0000 2024"",""0"",""@schcampus LAWAN! JANGAN LENGAH! BATALKAN BUKAN TUNDA! PANJANG UMUR PERJUANGAN! HIDUP RAKYAT INDONESIA! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771297810219048"","""",""schcampus"",""in"",""Wandsworth, London"",""0"",""0"",""0"",""https://x.com/Chacayozh/status/1826771297810219048"",""1579436929690456065"",""Chacayozh""";
"1826596877791302124,""Thu Aug 22 23:59:50 +0000 2024"",""0"",""@sajoersoep BATALKAN BUKAN TUNDA! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti"",""1826771293058072643"","""",""sajoersoep"",""in"",""she/her • "",""0"",""0"",""0"",""https://x.com/jnwwchan/status/1826771293058072643"",""1358054465211834370"",""jnwwchan""";
"1826771292995178904,""Thu Aug 22 23:59:50 +0000 2024"",""1"",""GAK MALU BERITANYA SAMPE KELUAR? Ini gara2 keluarga tamak yg kecanduan kekuasaan anjiiingg #KawalPutusanMK"",""1826771292995178904"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/lunasinpinjol/status/1826771292995178904"",""1817377713919029248"",""lunasinpinjol""";
"1826633892360847717,""Thu Aug 22 23:59:50 +0000 2024"",""0"",""@sheldon24james LAWAN! JANGAN LENGAH! BATALKAN BUKAN TUNDA! PANJANG UMUR PERJUANGAN! HIDUP RAKYAT INDONESIA! JANGAN MAU KALAH SAMA 1 KELUARGA #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti #PeringatanDarurat #IndonesiaEmergencyDemocracy"",""1826771290294026624"","""",""sheldon24james"",""in"","""",""0"",""0"",""0"",""https://x.com/tjakepvio/status/1826771290294026624"",""1643072838998589445"",""tjakepvio""";
"1826762559635992693,""Thu Aug 22 23:59:49 +0000 2024"",""1"",""@tanyarlfes BATALKAN BUKAN DITUNDA #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti"",""1826771290059145642"","""",""tanyarlfes"",""in"",""⋆˚𝜗𝜚˚⋆"",""0"",""0"",""0"",""https://x.com/vannjla/status/1826771290059145642"",""1322117092305301505"",""vannjla""";
"1826763833660100810,""Thu Aug 22 23:59:49 +0000 2024"",""0"",""@tanyakanrl BATALKAN BUKAN TUNDA! #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti"",""1826771287563534811"","""",""tanyakanrl"",""in"","""",""0"",""0"",""0"",""https://x.com/Maumauajasi/status/1826771287563534811"",""1708689975779397632"",""Maumauajasi""";
